('39', '남이분식', '서울 종로구 종로40가길 3', '03197', '02-2273-8203', 'https://mblogthumb-phinf.pstatic.net/MjAyMzEyMjdfNDAg/MDAxNzAzNjI4NTE2NDM2.sGPf9PmlOrRtPt4cJgjgDfr7ZN5qxRlNkJQJqxYpNFcg.Sb2D5Ejt3R0F0hcx0anCOCCg5dysLBDsEQrqUyex7zIg.PNG.jeong_928/C30B519D-D83C-4959-A373-A4093F7C25FB.png?type=w800', '0', '1', '23', '37.570199', '127.006535')
('39', '덕순루', '서울 용산구 한강대로80길 11', '04352', '02-326-1888', 'https://mblogthumb-phinf.pstatic.net/20161010_45/euroshim67_1476079910825x2gxa_JPEG/image_3823671061476079901746.jpg?type=w800', '0', '1', '21', '37.5426658', '126.9734335')
('39', '대림국수 당산역점', '서울 영등포구 양평로 61 1층 1호', '07213', '0507-1396-1098', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA4MjRfMjMz/MDAxNjkyODUzNzc1Njg3.WI9ht6EZYGKG66m6Voy9Eorjsv1gyXgsxqje1UUtObAg.dgZx6vjNU4ZjdrJx6asreMVv3fxQeLpDSDCrJiBMMOAg.JPEG.flower_cy/SE-199eb768-3fd5-11ee-bb20-5b9f7598d2e8.jpg?type=w800', '0', '1', '20', '37.5347435', '126.8997432')
('39', '명륜진사갈비 해운대점', '부산 해운대구 양운로80번길 8 2층', '48106', '051-703-0674', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA4MjRfMjMz/MDAxNjkyODUzNzc1Njg3.WI9ht6EZYGKG66m6Voy9Eorjsv1gyXgsxqje1UUtObAg.dgZx6vjNU4ZjdrJx6asreMVv3fxQeLpDSDCrJiBMMOAg.JPEG.flower_cy/SE-199eb768-3fd5-11ee-bb20-5b9f7598d2e8.jpg?type=w800', '0', '6', '16', '35.1707066', '129.1761576')
('39', '솥뚜껑생삼겹살', '서울 강동구 천중로 17', '05244', '02-472-9209', 'https://mblogthumb-phinf.pstatic.net/MjAyMjA4MTdfNTMg/MDAxNjYwNzI0ODM5ODky.7vF_3WkuN3TpB9cqwTTcqFzgtlX5t9fr-IfhfZUetZog.5dRw0SlHIcC4LcFpqURFPTHIYnVYp37Rp4DHkUcplHMg.JPEG.dkdudwkdrn123/IMG_6615.JPG?type=w800', '0', '1', '2', '37.545882', '127.1239199')
('39', '우대포 분당직영점', '경기 성남시 분당구 황새울로335번길 5 앤타운빌딩 1층 106-1호', '13590', '0507-1335-6139', 'https://mblogthumb-phinf.pstatic.net/MjAyMjA4MTdfNTMg/MDAxNjYwNzI0ODM5ODky.7vF_3WkuN3TpB9cqwTTcqFzgtlX5t9fr-IfhfZUetZog.5dRw0SlHIcC4LcFpqURFPTHIYnVYp37Rp4DHkUcplHMg.JPEG.dkdudwkdrn123/IMG_6615.JPG?type=w800', '0', '1', '2', '37.3858423', '127.1217597')
('39', '송정식당', '서울 종로구 종로40가길 13', '03197', '02-2267-2817', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', '37.5702733', '127.005875')
('39', '3575 Wilshire Blvd', '서울 종로구 종로40가길 13', '03197', '34.0620939', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Los Angeles', ' CA 90010 미국')
('39', '북창동 순두부', '서울 종로구 종로40가길 13', '03197', '34.0619825', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Los Angeles', ' CA 90010 미국')
('39', 'San Pedro Fish Market - Long Beach', '서울 종로구 종로40가길 13', '03197', '33.7533863', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Long Beach', ' CA 90803 미국')
('39', '우이락 망원본점', '서울 마포구 포은로8길 22', '04010', '0507-1438-5594', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA1MTlfMjAx/MDAxNjg0NTAwMzQ1MTU4.2FohdFVAhLT5qzkbqfITf73tN0YlYEnpzCdPDvw5ekQg.G_0tfW1-AFNQj-IQrPczEacy4f_6zQirj5FHMFCAfKgg.JPEG.8wildbells8/20230326%EF%BC%BF130033.jpg?type=w800', '0', '1', '13', '37.5564437', '126.9059919')
('39', 'LG전자 베스트샵 일산본점', '경기 고양시 일산동구 중앙로 1312', '10404', '0507-1489-0359', 'https://mblogthumb-phinf.pstatic.net/MjAyMTEyMjlfMzkg/MDAxNjQwNzY1ODYzNjg1.DKNJESg-1EtAe_CUFIS5RkvGb65wEe91VZMUenRbI54g.lPeiobNwuRTYI_0USXnvxeKt6U6kFeib0Lx3L93P8bcg.PNG.lg-bestshop/01.png?type=w800', '0', '1', '13', '37.663063', '126.771128')
('39', '고기랑', '경기 수원시 팔달구 권광로196번길 49', '16488', '031-221-6780', 'https://img.siksinhot.com/place/1505266328888636.jpg', '0', '1', '13', '37.2645122', '127.0358384')
('39', '스시도쿠 왕십리본점', '서울 성동구 왕십리광장로 6 1층 스시도쿠 왕십리본점', '04751', '0507-1320-3255', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20240415085632784_photo_803f03a43d34.jpg', '0', '1', '16', '37.561013', '127.0361635')
('39', '미우', '서울 강남구 압구정로 113-22 지하일층 미우', '06000', '02-544-7775', 'https://img.siksinhot.com/place/1676002418354408.jpg?w=307&h=300&c=Y', '0', '1', '1', '37.524755', '127.019656')
('39', '곱창파는고깃집', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', '0507-1384-9245', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', '37.5509462', '126.9536301')
('39', 'Sambal Bakar Indonesia', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', ' Babakan', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', 'Jl. Veteran No.12', ' RW.002')
